Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-model-klasik-pusat-kota-di-sayap-jala-172128686596/,Dijual Rumah Model Klasik Pusat Kota di Sayap Jalan Sunda Bandung,Antapani,,9,4,500,390,Rp8.350.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-cantik-minimalis-di-cigadung-dalam-cluster-d-172119186819/,Rumah Cantik Minimalis Di Cigadung dalam Cluster dgn Taman Belakang,Antapani,,3,3,180,300,Rp4.200.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/kircon-mainroad-dekat-kiara-park-bandung-kota-shm-172119022722/,"Kircon Mainroad Dekat Kiara Park Bandung Kota, SHM, Cocok Untuk Usaha",Antapani,,3,1,143,229,Rp4.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/termurah-di-sayap-riau-kota-bandung-17211708520/,termurah di sayap Riau kota Bandung,Antapani,,6,2,190,230,Rp5.200.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-readstok-sayap-pasteur-surya-sumantri-b-172114446986/,RUMAH BARU READSTOK SAYAP PASTEUR SURYA SUMANTRI BANDUNG DKT MARANATHA,Antapani,2,5,4,172,133,Rp3.390.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-700jt-an-di-cimahi-padaasih-permana-b-172108205065/,DIJUAL RUMAH 700JT AN DI CIMAHI PADAASIH PERMANA BANDUNG BARAT,Antapani,2,3,2,60,70,Rp700.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/shm-rumah-villa-700jt-an-di-bandung-barat-dng-priv-172104993110/,SHM: RUMAH VILLA 700JT AN DI BANDUNG BARAT DNG PRIVATE POOL,Antapani,2,2,2,55,77,Rp739.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/termurah-di-pratista-antapani-rumah-siap-huni-172361886835/,Termurah di Pratista Antapani Rumah Siap Huni,Antapani,1,3,2,70,168,Rp1.100.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-murah-815jt-baru-renov-siap-huni-clus-172241508685/,Dijual rumah MURAH 815jt baru RENOV siap huni Cluster Antapani JARANG,Antapani,1,2,1,97,105,Rp815.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-siap-huni-di-antapani-bandung-dekat-kampus-b-172119273920/,"Rumah Siap huni di Antapani Bandung dekat Kampus BSI,",Antapani,,5,3,237,256,Rp2.950.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-premium-antapani-bandung-timur-17201522663/,RUMAH PREMIUM ANTAPANI BANDUNG TIMUR,Antapani,,4,4,145,1362,Rp2.799.680.400
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-mewah-2-lantai-ada-kolam-ikannya-di-padalara-172369822825/,Rumah Mewah 2 Lantai Ada Kolam Ikannya di Padalarang,Antapani,,4,2,250,199,Rp2.750.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-komplek-antapani-lingkungan-oke-cocok-172369638157/,Dijual rumah komplek Antapani lingkungan oke cocok untuk rumah tinggal,Antapani,1,3,2,70,169,Rp1.100.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-terawat-siap-huni-pratista-raya-antapani-172368982886/,Rumah Terawat Siap Huni Pratista Raya Antapani,Antapani,1,4,2,110,168,Rp1.950.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-siap-huni-baru-murah-arcamanik-antapani-kota-172367701470/,"Rumah Siap Huni Baru Murah, Arcamanik Antapani, Kota Bandung Perumahan",Antapani,2,3,2,55,63,Rp769.500.000
